subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,The association of histone H1 with a nucleosome indicates:,Transcription is occurring,DNA replication is occurring,The DNA is condensed into a Chromatin Fibre,The DNA double helix is exposed,C,2017,124
Biology,Biotechnology - Principles and Processes,Biotechnology - Principles and Processes,,90,,A gene whose expression helps to identify transformed cell is known as,Selectable marker,Vector,Plasmid,Structural gene,A,2017,132
Biology,Principles of Inheritance and Variation,Principles of Inheritance and Variation,,90,,"The genotypes of a Husband and Wife are IAIB and IAi. Among the blood types of their children, how many different genotypes and phenotypes are possible?",3 genotypes ; 3 phenotypes,3 genotypes ; 4 phenotypes,4 genotypes ; 3 phenotypes,4 genotypes ; 4 phenotypes,C,2017,134
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,90,,"With reference to factors affecting the rate of photosynthesis, which of the following statements is not correct?",Light saturation for CO2 fixation occurs at 10% of full sunlight,Increasing atmospheric CO2 concentration upto 0.05% can enhance CO2 fixation rate,C3 plants responds to higher temperatures with enhanced photosynthesis while C4 plants have much lower temperature optimum,Tomato is a greenhouse crop which can be grown in CO2 - enriched atmosphere for higher yield,C,2017,142
Biology,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,,90,,Functional megaspore in an angiosperm develops into,Ovule,Endosperm,Embryo sac,Embryo,C,2017,146
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,90,,"Lungs are made up of air-filled sacs the alveoli. They do not collapse even after forceful expiration, because of :",Residual Volume,Inspiratory Reserve Volume,Tidal Volume,Expiratory Reserve Volume,A,2017,148
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,"GnRH, a hypothalamic hormone, needed in reproduction, acts on",Anterior pituitary gland and stimulates secretion of LH and oxytocin,Anterior pituitary gland and stimulates secretion of LH and FSH,Posterior pituitary gland and stimulates secretion of oxytocin and FSH,Posterior pituitary gland and stimulates secretion of LH and relaxin,B,2017,149
Biology,Plant Growth and Development,Plant Growth and Development,,90,,Fruit and leaf drop at early stages can be prevented by the application of,Cytokinins,Ethylene,Auxins,Gibberellic acid,C,2017,158
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,90,,Phosphoenol pyruvate (PEP) is the primary CO2 acceptor in :,C3 plants,C4 plants,C2 plants,C3 and C4 plants,B,2017,164
Biology,Locomotion and Movement,Locomotion and Movement,,90,,"Hypersecretion of Growth Hormone in adults does not cause further increase in height, because",Growth Hormone becomes inactive in adults,Epiphyseal plates close after adolescence,Bones loose their sensitivity to Growth Hormone in adults,Muscle fibres do not grow in size after birth,B,2017,169
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,DNA replication in bacteria occurs,During S-phase,Within nucleolus,Prior to fission,Just before transcription,C,2017,174
Biology,Human Reproduction,Human Reproduction,,90,,The function of copper ions in copper releasing IUD's is :,They suppress sperm motility and fertilising capacity of sperms,They inhibit gametogenesis,They make uterus unsuitable for implantation,They inhibit ovulation,A,2017,175
