subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no
Biology,Biodiversity and Conservation,Biodiversity and Conservation,,20,20,In the following in each set a conservation approach and an example of method of conservation are given (a) In situ conservation - Biosphere Reserve (b) Ex situ conservation - Sacred groves (c) In situ conservation - Seed bank (d) Ex situ conservation - Cryopreservation Select the option with correct match of approach and method:,(a) and (c),(a) and (d),(b) and (d),(a) and (b),B,2020,23
Biology,Evolution,Evolution,,15,15,Embryological support for evolution was proposed by,Ernst Heckel,Karl Ernst von Baer,Charles Darwin,Alfred Wallace,A,2020,24
Biology,Biological Classification,Biological Classification,,20,20,Which of the following is incorrect about Cyanobacteria?,They are photoautotrophs,They lack heterocysts,They often form blooms in polluted water bodies,"They have chlorophyll- a, similar to green plants",B,2020,30
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,25,25,Which of the following statements is incorrect?,RuBisCO is a bifunctional enzyme,"In C4 plants, the site of RuBisCO activity is mesophyll cell",The substrate molecule for RuBisCO activity is a 5-carbon compound,RuBisCO action requires ATP and NADPH,B,2020,36
Biology,Organisms and Populations,Organisms and Populations,,15,15,The impact of immigration on population density is,Negative,Both positive and negative,Neutralized by natality,Positive,D,2020,41
Biology,Plant Kingdom,Plant Kingdom,,20,20,Male and female gametophytes do not have an independent free living existence in :-,Pteridophytes,Algae,Angiosperms,Bryophytes,C,2020,42
Biology,Respiration in Plants,Respiration in Plants,,20,20,Pyruvate dehydrogenase activity during aerobic respiration requires,Calcium,Iron,Cobalt,Magnesium,D,2020,44
Biology,Ecosystem,Ecosystem,,30,30,The rate of decomposition is faster in the ecosystem due to following factors except,Detritus rich in sugars,Warm and moist environment,Presence of aerobic soil microbes,Detritus richer in lignin and chitin,D,2020,45
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,35,35,"Match the following columns and select the correct option. Column-I Column-II (a) Pituitary hormone (i) Steroid (b) Epinephrine (ii) Neuropeptides (c) Endorphins (iii) Peptides, proteins (d) Cortisol (iv) Biogenic amines","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)",B,2020,52
Biology,Animal Kingdom,Animal Kingdom,,30,30,Which of the following options does correctly represent the characteristic features of phylum Annelida? Unacademy Select [70],"Triploblastic, unsegmented body and bilaterally symmetrical.","Triploblastic, segmented body and bilaterally symmetrical.","Triploblastic, flattened body and acoelomate condition.","Diploblastic, mostly marine and radially symmetrical.",B,2020,53
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,30,30,Hormones stored and released from neurohypophysis are,Thyroid stimulating hormone and Oxytocin,Oxytocin and Vasopressin,Follicle stimulating hormone and Luteinizing hormone,Prolactin and Vasopressin,B,2020,56
Biology,Human Health and Disease,Human Health and Disease,,30,30,Match the following columns and select the correct option. Column - I Column - II (i) Typhoid (a) Haemophilus influenzae (ii) Malaria (b) Wuchereria bancrofti (iii) Pneumonia (c) Plasmodium vivax (iv) Filariasis (d) Salmonella typhi,"(i)-(d), (ii)-(c), (iii)-(a), (iv)-(b)","(i)-(c), (ii)-(d), (iii)-(b), (iv)-(a)","(i)-(a), (ii)-(c), (iii)-(b), (iv)-(d)","(i)-(a), (ii)-(b), (iii)-(d), (iv)-(c)",A,2020,57
Biology,Biotechnology - Principles and Processes,Biotechnology - Principles and Processes,,40,40,Select the correct statement from the following.,Gel electrophoresis is used for amplification of a DNA segment.,The polymerase enzyme joins the gene of interest and the vector DNA.,Restriction enzyme digestions are performed by incubating purified DNA molecules with the restriction enzymes of optimum conditions.,PCR is used for isolation and separation of gene of interest.,C,2020,64
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,30,30,Progesterone alone or in combination with estrogens can be used as a contraceptive in the form of,Implants only,Injections only,"Pills, injections and implants",Pills only,C,2020,70
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,35,35,The Total Lung Capacity (TLC) is the total volume of air accommodated in the lungs at the end of a forced inspiration. This includes,"RV, IC (Inspiratory Capacity), EC (Expiratory Capacity) and ERV","RV, ERV, IC and EC","RV, ERV, VC (Vital Capacity) and FRC (Functional Residual Capacity)","RV (Residual Volume), ERV (Expiratory Reserve Volume), TV (Tidal Volume) and IRV (Inspiratory Reserve Volume)",D,2020,72
Biology,Cell Cycle and Cell Division,Cell Cycle and Cell Division,,30,30,"During Meiosis I, in which stage synapsis takes place?",Pachytene,Zygotene,Diplotene,Leptotene,B,2020,74
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,35,35,Match the following columns and select the correct option. Column - I Column - II (a) Smooth endoplasmic reticulum (i) Protein synthesis (b) Rough endoplasmic reticulum (ii) Lipid synthesis (c) Golgi complex (iii) Glycosylation (d) Centriole (iv) Spindle formation,"(a)-(ii), (b)-(i), (c)-(iii). (d)-(iv)","(a)-(iii), (b)-(i), (c)-(ii), (d)-(iv)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)",A,2020,75
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,30,30,Which of the following is associated with decrease in cardiac output?,Sympathetic nerves,Parasympathetic neural signals,Pneumotaxic centre,Adrenal medullary hormones,B,2020,77
Biology,Locomotion and Movement,Locomotion and Movement,,30,30,Select the incorrectly matched pair from following.,Chondrocytes - Smooth muscle cells,Neurons - Nerve cells,Fibroblast - Areolar tissue,Osteocytes – Bone cells,A,2020,79
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,35,35,Match the following columns and select the correct option. Column - I Column - II (a) Ovary (i) Human chorionic Gonadotropin (b) Placenta (ii) Estrogen & Progesterone (c) Corpus luteum (iii) Androgens (d) Leydig cells (iv) Progesterone only,"(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(iii), (c)-(ii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)",D,2020,81
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,35,35,Match the following events that occur in their respective phases of cell cycle and select the correct option. (a) G1 phase (i) Cell growth and organelle duplication (b) S phase (ii) DNA replication and chromosome duplication (c) G2 phase (iii) Cytoplasmic growth (d) Metaphase in M-phase (iv) Alignment of chromosomes,"(a)-(ii), (b)-(iii), (c)-(iv), (d)-(i)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)",D,2020,84
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,35,35,Which is the basis of genetic mapping of human genome as well as DNA fingerprinting?,Polymorphism in DNA sequence,Single nucleotide polymorphism,Polymorphism in hnRNA sequence,Polymorphism in RNA sequence,A,2020,86
